Size_sqft,Lot_Size_sqft,Living_Area_sqft,Basement_Area_sqft,Garage_Area_sqft,Bedrooms,Bathrooms,Full_Baths,Half_Baths,Total_Rooms,Kitchens,Overall_Quality,Overall_Condition,Kitchen_Quality,Basement_Quality,Heating_Quality,Dist_Downtown_miles,Dist_School_miles,Dist_Transit_miles,Dist_Park_miles,Dist_Hospital_miles,Dist_Highway_miles,Walk_Score,Transit_Score,Year_Built,Year_Renovated,Age_Years,Years_Since_Renovation,Has_Pool,Has_Deck,Has_Porch,Has_Fireplace,Has_Central_Air,Has_Basement,Has_Garage,Is_Waterfront,Is_Corner_Lot,Has_Solar,Zone_Residential,Zone_Commercial,Zone_Suburban,Zone_Rural,Zone_Downtown,Tax_Assessed_Value,Annual_HOA_Fees,Property_Tax_Rate,Month_Sold,Year_Sold,View_Score,Fence_Quality,Roof_Age_years,Driveway_Paved,Electric_System_Type,Price_USD
3098,16799,2814,0,199,2,1.0,1,0,7,1,4,3,4,1,6,12.09,9.27,2.54,2.51,2.51,10.74,67,75,1996,0,30,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,256191,0,2.14,2,2025,5,2,19,1,1,766700
4316,14364,3995,443,153,3,3.0,3,0,9,1,4,7,3,4,6,26.91,1.88,3.51,2.95,10.57,7.23,36,72,1977,2017,49,9,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,351295,0,3.39,3,2021,2,3,5,1,3,915252
3916,19543,3153,527,696,5,2.0,2,0,9,1,3,5,1,4,5,2.95,8.72,1.63,3.18,7.1,10.13,97,76,1977,2023,49,3,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,108815,220,3.38,6,2025,5,1,4,1,3,856573
4575,13977,3769,1267,0,4,3.0,3,0,10,1,5,2,7,7,7,29.56,3.91,3.07,4.98,10.64,5.08,37,66,2025,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,232231,598,0.55,3,2026,3,4,11,0,1,1054803
2149,18910,1764,222,526,4,1.5,1,1,6,1,1,8,1,2,5,22.5,6.78,1.82,4.62,14.28,10.16,53,80,1996,2010,30,16,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,235520,0,1.06,3,2023,3,1,4,1,3,638944
4696,17365,4477,816,461,2,3.5,3,1,9,1,1,6,3,10,9,19.19,7.99,0.7,1.48,5.97,6.71,59,97,2013,0,13,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,197188,0,1.08,4,2021,3,3,25,0,1,912989
1976,18347,1690,1270,303,3,3.0,3,0,8,1,3,8,2,4,10,16.33,9.24,1.56,3.68,8.73,4.71,71,77,1956,2020,70,6,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,339818,1438,2.98,3,2022,3,2,4,0,3,697279
3797,10433,2895,0,0,4,2.5,2,1,9,1,10,4,8,1,4,26.0,4.47,1.05,4.82,8.61,10.69,39,88,1970,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,458215,920,3.03,2,2021,3,2,16,1,3,1031026
4832,17949,4500,0,646,2,3.5,3,1,8,1,4,7,2,1,5,1.85,8.85,0.33,3.92,8.41,1.27,100,90,1976,0,50,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,138148,2350,1.16,12,2022,4,1,9,0,1,972957
1112,8568,850,212,0,4,3.0,3,0,10,1,3,10,5,6,3,5.67,1.42,3.48,0.2,5.39,6.42,88,63,2007,2011,19,15,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,134346,0,1.54,1,2025,1,4,8,0,2,500568
1572,14249,1490,1213,0,2,4.5,4,1,8,1,2,7,1,8,4,25.69,3.91,2.64,1.63,8.19,4.24,34,87,1997,0,29,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,83555,4736,3.5,11,2026,2,2,17,1,2,550788
1961,8277,1776,635,161,4,3.5,3,1,10,2,8,2,8,3,8,7.14,1.43,0.58,0.7,11.18,2.11,83,93,1988,0,38,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,305504,0,0.56,5,2021,1,3,20,1,1,773614
2019,8518,1748,384,256,4,3.0,3,0,9,1,3,6,3,10,1,15.77,0.53,4.74,2.01,7.24,8.88,45,58,1992,1995,34,31,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,292906,0,0.63,9,2023,3,1,12,1,1,653146
1057,18921,827,359,342,2,2.0,1,2,6,1,4,10,3,5,6,26.24,8.55,4.9,1.83,4.28,4.79,22,55,2023,2010,3,16,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,192877,1424,2.06,2,2023,3,3,8,1,2,524018
2528,18919,2142,0,0,5,4.5,4,1,12,2,9,7,10,1,1,27.63,8.15,4.35,1.5,6.94,9.15,34,58,2009,0,17,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,388558,1161,1.27,3,2020,4,3,8,0,2,982001
3248,8222,2659,0,791,5,1.0,1,0,7,1,8,5,10,1,10,21.4,0.49,4.91,1.44,5.01,9.34,52,51,1997,2026,29,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,414544,2461,0.91,12,2024,3,2,20,1,3,977720
3788,11597,2984,0,643,4,3.0,3,0,9,1,3,3,3,1,6,6.41,0.59,4.73,1.31,7.79,4.92,73,53,1972,2010,54,16,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,267364,0,0.56,10,2022,1,3,24,1,3,856512
1564,9306,1249,1445,314,1,4.0,4,0,8,1,3,7,4,3,7,28.46,3.11,2.75,4.17,1.6,10.22,29,73,2008,2019,18,7,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,491190,0,2.53,12,2025,3,3,2,1,3,648652
3593,15911,2775,645,665,1,3.0,2,2,4,2,5,8,7,8,4,16.03,9.5,1.14,4.02,13.03,8.11,62,87,1972,2011,54,15,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,447150,3629,3.01,9,2023,5,1,7,1,2,838820
3651,3377,3020,0,765,3,3.5,3,1,8,1,10,3,10,1,5,21.5,3.75,3.39,2.72,1.19,11.65,41,74,2002,2007,24,19,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,314131,0,0.86,4,2025,5,3,20,0,1,964055
892,3223,854,324,447,3,4.5,4,2,9,1,6,7,8,6,3,29.25,5.26,4.29,1.74,13.66,11.39,35,72,1989,2024,37,2,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,293551,4907,1.99,9,2024,4,4,13,1,3,620007
2048,6025,1800,417,0,1,2.0,2,0,4,1,9,5,8,7,8,20.85,4.35,1.78,3.54,1.07,4.79,50,75,2000,0,26,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,214178,0,2.2,3,2021,2,4,20,0,3,641366
2485,2260,2061,0,378,4,1.0,1,0,9,1,8,5,8,1,2,10.5,2.28,2.76,1.37,5.7,5.28,69,83,1985,0,41,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,150985,0,1.33,10,2024,2,1,7,1,3,740199
3204,17828,2606,1081,759,3,1.5,1,1,5,1,5,4,6,6,6,19.03,2.0,2.21,2.44,12.14,8.68,49,92,2020,2000,6,26,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,123640,460,2.34,6,2025,2,4,7,1,1,776557
1731,5825,1407,0,589,1,2.5,2,1,7,1,6,3,6,1,5,1.96,8.06,0.11,1.68,5.89,11.95,100,92,2005,0,21,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,323354,0,2.66,11,2026,4,4,1,1,3,704783
3427,17713,2639,463,476,4,4.5,4,1,10,2,5,2,5,7,1,23.89,7.54,4.38,4.64,12.02,10.89,38,66,1951,0,75,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,361819,0,3.25,7,2024,3,4,14,1,3,893474
1587,13430,1234,1217,359,3,3.0,3,0,10,1,9,10,9,1,8,9.27,7.21,2.87,4.31,8.78,8.36,68,72,1954,1995,72,31,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,409967,3093,2.62,3,2022,3,3,3,0,2,737309
833,13954,700,0,742,1,1.0,1,0,6,1,7,9,5,1,3,1.08,7.49,1.94,1.71,1.48,11.32,91,81,1995,0,31,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,158985,3118,1.0,3,2023,4,1,6,0,3,553645
3995,11851,3684,1032,759,2,2.5,2,1,8,1,2,9,2,1,9,18.1,8.53,3.5,2.86,9.8,1.64,57,67,2018,2008,8,18,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,142992,0,3.15,1,2025,1,1,7,1,1,787359
2665,11071,2449,0,285,5,4.5,4,1,11,2,2,3,1,1,9,9.19,8.24,1.96,2.88,1.16,10.81,68,89,1957,1997,69,29,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,221789,0,1.16,8,2024,5,1,15,1,3,761036
2239,10661,2119,0,0,1,4.0,4,0,7,1,8,2,8,1,10,8.48,9.35,3.16,0.11,1.65,7.84,83,74,1968,0,58,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,372009,0,1.19,3,2026,3,3,14,1,1,780478
4818,14957,4500,0,573,5,4.0,4,0,11,1,8,7,7,1,3,20.25,4.32,4.77,0.93,2.51,6.55,47,52,1956,0,70,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,338459,2284,0.96,4,2024,2,2,5,1,3,1270640
4451,18385,3554,408,0,5,1.0,1,0,9,1,2,9,4,9,3,14.42,3.38,0.11,1.43,3.45,9.78,74,98,1970,2003,56,23,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,175161,0,1.74,2,2021,3,1,19,0,2,888578
847,9023,713,380,359,2,3.0,3,0,7,1,4,8,5,6,5,2.03,9.08,0.5,2.96,8.52,10.05,92,95,2026,1992,0,34,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,453357,1613,2.72,9,2024,1,2,22,0,3,579652
1584,4119,1468,754,685,4,1.5,1,1,8,2,10,9,10,4,5,22.06,4.22,3.66,3.59,5.07,11.63,45,73,1976,1991,50,35,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,275112,0,3.35,12,2020,2,2,2,1,2,678777
1149,9322,953,0,669,3,3.0,3,0,7,1,6,4,5,1,1,10.98,8.28,2.63,0.44,13.08,11.84,76,73,2005,1995,21,31,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,275811,0,1.87,10,2020,3,4,2,0,3,722738
2955,4085,2805,0,626,1,2.5,2,1,6,1,6,5,4,1,8,0.74,4.79,2.36,1.67,10.93,11.27,89,74,1968,2008,58,18,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,448550,0,2.13,1,2024,2,4,25,1,2,960756
1644,5466,1567,0,468,2,2.0,2,0,6,1,2,8,4,1,8,21.02,6.37,2.83,0.48,12.93,3.29,45,82,2011,0,15,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,148887,4817,2.75,10,2024,1,2,15,1,1,551953
2844,10377,2327,853,475,3,1.5,1,1,5,1,6,1,8,9,2,9.33,8.21,3.84,3.15,4.08,7.93,68,64,1979,0,47,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,329659,0,1.05,3,2022,4,3,17,1,3,868396
2640,11584,2503,229,334,1,2.0,2,0,6,2,4,2,5,5,10,17.12,0.33,3.52,4.8,6.4,7.43,62,79,2009,0,17,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,466329,0,3.11,1,2025,1,2,15,1,2,710045
3108,3443,2935,915,0,4,4.5,4,1,11,1,9,5,8,10,9,14.0,5.72,2.48,3.0,2.11,10.52,61,73,1987,2002,39,24,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,98300,343,2.9,3,2021,2,3,23,1,3,906489
2635,19651,2379,609,157,3,4.0,4,0,10,1,6,1,4,8,5,2.62,5.67,4.59,1.72,1.79,2.02,87,68,1989,2023,37,3,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,280544,0,2.31,8,2025,3,1,11,1,3,880136
4438,3346,3687,721,303,5,2.5,2,1,11,1,6,9,6,6,7,2.71,6.73,4.87,0.21,4.75,2.46,83,65,2020,2012,6,14,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,112448,0,2.53,11,2026,5,2,15,1,2,1157230
4427,13605,4083,873,708,4,2.0,2,0,9,1,6,4,7,8,7,21.61,5.81,4.3,4.04,11.86,4.82,45,62,1969,2013,57,13,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,294530,0,1.56,8,2024,4,4,12,0,1,1034681
4087,10593,3618,0,221,5,1.5,1,1,7,1,6,2,7,1,9,7.5,2.33,4.18,1.18,8.09,7.89,65,71,1979,0,47,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,200915,0,0.73,7,2022,1,4,15,0,3,864385
1773,13364,1653,715,0,1,4.5,4,2,8,1,5,9,7,2,2,9.48,7.5,4.1,0.18,6.61,9.6,69,75,1994,0,32,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,314320,0,3.48,6,2021,3,2,22,1,2,698188
4935,8203,4500,1468,138,5,2.0,1,2,9,1,2,9,3,6,4,5.01,3.36,4.31,0.73,11.22,2.06,81,65,1988,2025,38,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,348417,3157,3.44,2,2020,1,1,12,1,3,1158807
1955,5761,1894,1089,0,2,2.0,2,0,8,1,7,10,8,9,4,4.1,5.57,2.46,4.14,2.67,5.41,84,83,2020,0,6,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,211866,1023,3.12,2,2021,4,3,12,0,3,798900
4285,13095,3484,1468,499,5,4.0,4,0,11,1,2,3,2,4,5,13.02,6.38,4.17,1.31,13.36,2.52,56,61,2012,0,14,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,220252,2856,2.74,6,2021,1,1,23,1,1,937877
3695,8983,3448,1288,600,4,4.5,4,1,10,1,8,10,10,4,4,29.3,1.17,0.98,0.22,6.65,0.56,31,98,1983,0,43,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,129570,2017,2.9,11,2023,2,1,0,1,3,1033354
4520,11996,3907,0,291,5,2.0,2,0,9,2,9,8,10,1,9,10.18,7.51,2.33,0.34,8.33,3.52,68,71,2002,0,24,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,167201,0,1.36,4,2024,1,1,14,1,1,1052529
1366,15491,1209,1293,109,3,3.0,3,0,10,1,4,5,5,6,5,10.28,6.92,1.57,2.07,1.58,6.75,66,83,1969,2008,57,18,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,51813,2326,1.97,10,2023,1,1,11,1,2,595937
1173,7322,945,0,316,3,1.5,1,1,7,1,2,4,3,1,10,8.16,2.36,3.55,1.69,9.9,4.29,75,73,2012,0,14,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,491737,0,1.85,7,2022,4,4,10,1,2,635703
3558,10995,2842,1155,526,5,1.5,1,1,9,1,2,10,3,2,1,4.92,9.77,1.42,1.09,13.61,11.93,94,96,2005,2000,21,26,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,245068,2345,2.48,10,2026,3,2,6,1,2,937408
4533,7678,3620,864,0,1,1.5,1,1,4,1,2,4,4,7,3,17.61,3.81,3.92,2.37,5.57,11.57,51,74,2014,2021,12,5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,367132,1369,0.72,2,2020,5,2,21,1,3,913124
4940,9762,4113,215,790,1,1.0,1,0,4,1,9,2,10,4,7,12.17,8.82,4.49,4.22,9.77,8.11,54,54,2014,2021,12,5,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,95054,2729,1.2,3,2025,1,3,6,1,1,998600
3835,8313,3540,0,349,2,3.5,3,1,6,1,4,10,4,1,7,26.7,8.15,2.59,3.32,12.22,6.67,35,71,2013,0,13,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,178927,0,1.15,1,2024,4,3,8,1,2,936061
1447,6395,1192,1181,635,4,4.0,4,0,11,1,7,6,5,2,6,16.7,2.35,2.6,4.49,14.21,6.0,64,71,1966,0,60,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,259985,0,1.19,1,2025,4,4,0,0,3,727536
4593,6387,3540,982,452,1,4.0,4,0,7,1,7,2,5,8,5,13.28,0.96,4.16,3.58,11.16,2.55,69,68,2018,2019,8,7,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,93032,1344,0.65,3,2020,2,1,10,1,3,1065620
997,2482,797,0,725,5,1.0,1,0,8,1,4,2,2,1,8,11.29,8.14,2.12,0.88,3.46,9.35,67,90,1993,0,33,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,96100,0,1.63,4,2021,5,2,17,1,2,481101
2948,19250,2470,366,214,4,3.0,3,0,11,1,7,4,7,6,8,29.2,2.07,4.71,1.18,3.93,5.82,32,54,1998,2021,28,5,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,437480,137,1.45,3,2026,5,1,3,1,3,924280
4052,17382,3259,663,715,2,3.0,2,2,6,1,8,10,6,4,4,13.77,7.87,1.93,0.86,12.3,11.89,63,84,1952,0,74,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,334915,4853,3.4,8,2023,5,3,9,1,3,968585
1801,19864,1513,459,0,1,2.0,2,0,4,2,10,10,10,2,10,12.44,0.56,2.11,4.4,13.65,7.73,60,93,1950,0,76,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,253565,1393,1.39,11,2026,2,3,14,1,3,641806
969,11213,846,0,316,3,4.0,4,0,9,1,10,2,8,1,9,12.66,3.15,3.08,2.97,6.29,10.18,58,78,1961,0,65,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,274995,0,1.57,11,2026,3,1,15,1,2,658676
4925,14782,3768,1454,677,5,2.0,2,0,8,1,3,10,5,9,10,11.7,0.54,4.7,3.56,13.8,3.74,65,70,1956,2019,70,7,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,465095,0,2.74,7,2026,3,1,3,1,1,1084638
3130,11181,2643,367,435,4,2.0,2,0,10,1,5,9,4,5,6,29.25,7.48,0.17,2.17,4.61,6.75,31,92,1992,2017,34,9,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,171626,0,2.04,2,2022,4,4,21,0,2,792075
3038,8319,2341,0,299,1,1.0,1,0,5,1,2,10,3,1,1,12.3,4.81,1.26,4.41,1.8,4.98,75,86,1957,0,69,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,83847,1927,2.62,7,2021,5,4,9,0,2,602148
1526,12885,1331,851,235,4,2.0,2,0,9,1,1,6,1,3,7,13.98,7.91,2.51,0.17,3.28,3.34,71,73,1962,0,64,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,317265,0,2.04,11,2023,3,1,18,1,3,535513
2754,8557,2651,600,295,4,2.0,2,0,7,2,1,2,1,8,10,24.67,7.82,2.55,3.96,14.08,2.7,52,76,1970,0,56,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,133591,0,1.56,8,2024,2,1,18,0,1,638269
1243,14173,1111,0,705,4,3.0,3,0,9,1,9,3,9,1,5,4.68,0.96,2.96,4.51,9.45,5.01,83,78,2011,2003,15,23,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,237056,3276,2.37,12,2024,5,2,22,1,1,706543
906,13635,731,1376,411,1,1.5,1,1,3,1,8,1,9,1,10,5.78,1.31,3.98,0.99,4.82,10.56,83,58,1999,0,27,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,238280,4722,0.76,3,2021,2,4,13,1,1,628393
3695,14251,3344,762,631,5,4.0,4,0,11,1,10,2,10,7,9,23.35,4.92,1.86,0.65,7.61,1.59,55,79,2026,2011,0,15,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,202785,0,2.1,5,2022,3,3,10,1,1,1065539
849,2548,799,737,800,3,3.5,3,1,10,1,3,9,4,9,9,19.38,5.98,1.86,2.94,1.35,3.3,45,92,2023,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,451411,2116,3.1,3,2022,1,4,20,1,1,626432
2262,2142,2041,1252,353,5,3.0,3,0,11,1,6,5,7,9,1,10.88,9.32,1.35,0.42,8.73,10.87,68,79,2019,0,7,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,262411,2119,1.49,10,2023,5,3,1,1,3,796253
982,16924,816,1138,626,1,4.0,3,2,6,1,6,10,6,4,2,11.16,0.16,4.67,1.73,8.51,7.89,59,63,1980,0,46,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,421467,2301,0.68,7,2023,4,2,4,0,2,704754
2511,7738,2241,0,389,4,4.5,4,1,9,1,4,6,5,1,7,15.0,6.32,3.71,1.32,8.06,1.21,61,78,2017,2006,9,20,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,328076,0,1.13,2,2022,4,4,0,0,3,885468
4841,4489,3820,0,703,5,4.0,4,0,10,1,8,5,9,1,9,7.35,0.67,3.02,1.88,5.59,5.56,83,77,1974,0,52,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,495172,0,2.62,11,2022,4,4,3,0,1,1226392
3447,15513,3145,385,389,2,2.5,2,1,5,1,3,6,5,6,7,16.63,7.28,0.19,1.69,13.05,6.19,71,100,1970,2021,56,5,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,87320,0,1.49,7,2022,2,1,16,1,1,804795
4132,8105,4019,0,250,4,3.0,2,2,7,1,10,4,8,1,9,23.46,1.91,4.12,2.25,0.96,1.64,30,71,1967,0,59,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,264806,1652,0.94,3,2020,4,1,18,1,2,982032
1033,9073,922,0,785,3,4.5,4,1,8,1,1,8,1,1,5,6.54,4.82,0.38,2.45,5.67,10.33,81,100,1953,0,73,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,480690,3806,1.48,5,2024,3,4,9,0,1,576634
4760,9849,3832,979,440,4,1.5,1,1,6,1,2,1,1,7,8,23.16,1.82,2.19,1.82,4.76,6.8,45,92,2018,1994,8,32,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,437159,1254,0.97,2,2025,3,1,10,0,1,977254
4981,18550,4500,0,144,4,1.5,1,1,7,1,10,8,10,1,7,3.19,2.46,1.54,4.69,14.24,4.15,84,78,1977,0,49,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,477360,0,3.44,7,2026,2,4,5,1,2,1108740
2494,19166,2245,0,434,4,1.5,1,1,9,1,2,3,1,1,1,20.98,1.78,0.6,2.55,6.77,6.67,55,85,1963,1992,63,34,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,81143,0,1.77,2,2023,1,4,0,1,2,568428
4747,4073,3759,1327,218,5,1.5,1,1,8,1,8,8,9,7,10,3.45,4.61,4.98,2.55,2.85,2.13,85,65,2009,2018,17,8,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,196989,0,1.32,11,2020,5,1,22,1,2,1115122
3324,15705,2614,0,330,2,3.0,3,0,6,1,4,2,4,1,1,22.77,3.97,0.99,2.2,11.46,1.02,59,88,2014,0,12,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,487613,896,2.57,2,2024,1,1,24,0,2,771314
